"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13517","test_OrangeHRM_url_001","testCases","Sun Aug 11 09:55:10 IST 2024","passed","Sun Aug 11 09:55:24 IST 2024","Test_OrangeHRM_Login","test_OrangeHRM_Login","",""
"","16329","test_OrangeHRM_Login_002","testCases","Sun Aug 11 09:55:15 IST 2024","passed","Sun Aug 11 09:55:31 IST 2024","Test_OrangeHRM_Login","test_OrangeHRM_Login","",""
